Day,Strain,Lineages,H2O2,cm,Group
1 day,SG200,Initial,0 mM,3.9,SG200
1 day,SG200,Initial,0 mM,3.8,SG200
1 day,SG200,Initial,0 mM,3.65,SG200
7 day,SG200,Initial,0 mM,3.7,SG200
7 day,SG200,Initial,0 mM,3.75,SG200
7 day,SG200,Initial,0 mM,3.8,SG200
1 day,U20.L1.C1,LD,0 mM,3.9,Control
1 day,U20.L2.C1,LE,0 mM,3.9,Control
1 day,U20.L3.C1,LF,0 mM,3.7,Control
1 day,U20.L1.C2,LD,0 mM,3.8,Control
1 day,U20.L2.C2,LE,0 mM,3.7,Control
1 day,U20.L3.C2,LF,0 mM,3.8,Control
7 day,U20.L1.C1,LD,0 mM,3.6,Control
7 day,U20.L2.C1,LE,0 mM,3.8,Control
7 day,U20.L3.C1,LF,0 mM,3.8,Control
7 day,U20.L1.C2,LD,0 mM,3.8,Control
7 day,U20.L2.C2,LE,0 mM,3.7,Control
7 day,U20.L3.C2,LF,0 mM,3.6,Control
1 day,T20.L1.C1,LA,60 mM,2.6,H2O2_exposed
1 day,T20.L1.C2,LA,60 mM,2.7,H2O2_exposed
1 day,T20.L1.C3,LA,60 mM,2.7,H2O2_exposed
1 day,T20.L1.C4,LA,60 mM,2.8,H2O2_exposed
1 day,T20.L1.C5,LA,60 mM,3,H2O2_exposed
1 day,T20.L2.C1,LB,60 mM,2.5,H2O2_exposed
1 day,T20.L2.C2,LB,60 mM,3,H2O2_exposed
1 day,T20.L2.C3,LB,60 mM,2.9,H2O2_exposed
1 day,T20.L2.C4,LB,60 mM,2.9,H2O2_exposed
1 day,T20.L2.C5,LB,60 mM,2.8,H2O2_exposed
1 day,T20.L3.C1,LC,60 mM,2.8,H2O2_exposed
1 day,T20.L3.C2,LC,60 mM,3.1,H2O2_exposed
1 day,T20.L3.C3,LC,60 mM,2.3,H2O2_exposed
1 day,T20.L3.C4,LC,60 mM,2.9,H2O2_exposed
1 day,T20.L3.C5,LC,60 mM,2.9,H2O2_exposed
7 day,T20.L1.C1,LA,60 mM,2.4,H2O2_exposed
7 day,T20.L1.C2,LA,60 mM,2.9,H2O2_exposed
7 day,T20.L1.C3,LA,60 mM,2.8,H2O2_exposed
7 day,T20.L1.C4,LA,60 mM,2.9,H2O2_exposed
7 day,T20.L1.C5,LA,60 mM,2.9,H2O2_exposed
7 day,T20.L2.C1,LB,60 mM,2.6,H2O2_exposed
7 day,T20.L2.C2,LB,60 mM,2.9,H2O2_exposed
7 day,T20.L2.C3,LB,60 mM,3,H2O2_exposed
7 day,T20.L2.C4,LB,60 mM,2.8,H2O2_exposed
7 day,T20.L2.C5,LB,60 mM,2.9,H2O2_exposed
7 day,T20.L3.C1,LC,60 mM,2.6,H2O2_exposed
7 day,T20.L3.C2,LC,60 mM,3,H2O2_exposed
7 day,T20.L3.C3,LC,60 mM,2.4,H2O2_exposed
7 day,T20.L3.C4,LC,60 mM,2.9,H2O2_exposed
7 day,T20.L3.C5,LC,60 mM,3,H2O2_exposed
