SampleID,SampleName
2021EE01,USMA_SG200
2021EE02,T10.LA.C1
2021EE03,T10.LB.C1
2021EE04,T10.LC.C1
2021EE05,U20.LD.C1
2021EE06,U20.LE.C1
2021EE07,U20.LF.C1
2021EE08,T20.LA.C1
2021EE09,T20.LA.C2
2021EE10,T20.LA.C3
2021EE11,T20.LA.C4
2021EE12,T20.LA.C5
2021EE13,T20.LB.C1
2021EE14,T20.LB.C2
2021EE15,T20.LB.C3
2021EE16,T20.LB.C4
2021EE17,T20.LB.C5
2021EE18,T20.LC.C1
2021EE19,T20.LC.C2
2021EE20,T20.LC.C3
2021EE21,T20.LC.C4
2021EE22,T20.LC.C5
2021EE25,U20.LD.2
2021EE26,U20.LE.2
2021EE27,U20.LF.2
2021EE47,USMA_SG200

